Column,Column,2010,2009
,,Rwf ‘000,Rwf ‘000
d),Impairment allowance for loans and advances,,
,At 1 January,"2,932,503","3,791,537"
,Impairment losses on loans and advances,"6,074,342","4,108,897"
,Recoveries,"(3,698,061)","(2,608,851)"
,Amounts written off,"(2,110,726)","(2,359,080)"
,At 31 December,"3,198,058","2,932,503"
e),Impairment losses for the year,,
,Impairment losses on loans and advances,"(6,074,342)","(4,108,897)"
,Recoveries on non performing loans,"3,698,061","2,608,851"
,Charge for the year,"(2,376,281)","(1,500,046)"
,"Impairment is carried out by individual assessment. There were no repossessions and collaterals held are not
considered in impairment assessment.",,
FINANCIAL INVESTMENTS – HELD-TO-MATURITY,,,
,Treasury Bills,"1,443,672","3,647,644"
,Treasury bonds,"3,780,723","8,665,262"
,,"5,224,395","12,312,906"
