Column,2010,2009,2008
,rwF’000,rwF’000,rwF’000
Loans and advances to customers,,,
carrying amount,,,
non Performing Loans,,,
Class 3: substandard,"2,111,176","2,172,954","3,002,209"
Class 4: Doubtful,"2,560,639","1,218,008","576,048"
Class 5: Loss,"3,357,989","2,378,006","5,602,915"
Interest in suspense,"973,337","916,279","2,956,760"
non Performing Loan portfolio,"9,003,141","6,685,247","12,137,932"
Allowance for impairment,"(3,198,058)","(2,932,503)","(3,791,537)"
carrying amount,"5,805,083","3,752,744","8,346,395"
