Assets,"Up to one
month",1-3 months,3-6 months,6-12 months,1-5 years,Over 5 years,Total
,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000
Cash in hand,"6,881,845",-,-,-,-,-,"6,881,845"
"Cash balances with the national
Bank of Rwanda","22,562,505",-,-,-,-,-,"22,562,505"
"Placements and balances with
other banking institutions","38,452,178",-,-,-,-,-,"38,452,178"
"Loans and advances to
customers","16,829,464","5,105,790","2,316,272","5,068,121","37,154,764","34,928,246","101,402,657"
"Financial investments – held-to-
maturity","59,005","2,534,277","177,015","1,742,662","711,436",-,"5,224,395"
"Financial investments – available-
for-sale",-,-,-,-,-,"268,375","268,375"
other assets,"4,390,670",-,-,-,-,,"4,390,670"
Intangible assets,-,-,-,-,-,"180,604","180,604"
Property and equipment,-,-,-,-,-,"18,313,417","18,313,417"
"total assets as at 31 December
2010","89,175,667","7,640,067","2,493,287","6,810,783","37,866,200","53,690,642","197,676,646"
Liabilities,,,,,,,
Customer deposits,"106,607,290","3,596,587","13,569,471","11,774,388","130,010",-,"135,677,746"
"Deposits and balances with other
banks","10,611,246","2,718,200","3,564,790","2,026,400",-,-,"18,920,636"
tax liabilities,-,"496,815",-,-,-,-,"496,815"
other accounts payable,"6,822,397",-,-,-,-,-,"6,822,397"
Provisions,"18,728",-,-,-,-,-,"18,728"
Deferred tax,"805,918",-,-,-,"766,130","2,298,389","3,870,437"
"total liabilities as at 31
December 2010","124,865,579","6,811,602","17,134,261","13,800,788","896,140","2,298,389","165,806,759"
"owner’s equity as at 31 December
2010",-,-,-,-,-,"31,869,887","31,869,887"
Maturity gap for 2010,"(35,689,912)","828,465","(14,640,974)","(6,990,005)","36,970,060","19,522,366",-
"off statement of financial position
gap 2010",negative Gap,negative Gap,negative Gap,negative Gap,Positive Gap,Positive Gap,-
