CONSOLIDATED STATEMENT OF FINANCIAL POSITION,AUDITED,AUDITED
As at,31 Dec 2025,31 Dec 2024
Assets,FRW’000,FRW’000
"Cash, deposits and balances due from financial
institutions","847,124,546","678,269,792"
Held to maturity investments,"294,381,785","307,528,240"
Loans and advances to customers,"1,688,134,855","1,453,983,641"
Insurance Contract Assets,"3,358,680","2,857,410"
Deferred income tax,"17,098,309","7,857,130"
Assets held for sale,"100,000","100,000"
Other assets,"21,161,597","21,472,751"
Right of use assets,"3,031,878","2,694,903"
Property and equipment,"30,887,316","31,734,374"
Intangible assets,"14,233,369","14,610,397"
Total Assets,"2,919,512,333","2,521,108,638"
Liabilities,,
Due to banks,"264,889,279","223,300,626"
Deposits and balances from customers,"1,884,428,321","1,641,839,621"
Current income tax,"15,108,412","8,989,032"
Dividends payable,"34,173,161","18,395,258"
Insurance contract liabilities,"6,304,315","4,685,020"
Other liabilities,"68,419,658","70,484,738"
Lease liabilities,"3,255,631","2,935,409"
Long-term finance,"118,693,730","111,951,300"
Total Liabilities,"2,395,272,507","2,082,581,004"
Equity,,
Share capital,"9,347,166","9,305,314"
Share premium,"84,326,286","83,074,911"
Retained earnings and other reserves,"424,245,302","340,884,525"
Equity Attributable to owners of the company,"517,918,755","433,264,750"
Non-Controlling Interests,"6,321,071","5,262,884"
,"524,239,826","438,527,634"
TOTAL EQUITY AND LIABILITIES,"2,919,512,333","2,521,108,638"
