Top Insurance Companies Rwanda (Medical Excluded),Column,Column,Column,Column
Company,Gross Written Premium,Underwriting Results,Loss ratio,Expense Ratio
BKGI,"11,057,122","2,293,315",40%,32%
PRIME,"16,013,578","1,341,961",56%,28%
SANLAM,"11,154,111","-4,381,316",72%,103%
RADIANT,"11,272,686","- 1,013,194",77%,35%
MUA,"9,518,560","606,713",54%,36%
OLD MITUAL,"6,589,211","- 376,777",52%,60%
BRITAM,"4,364,007","- 255,543",40%,73%
MYFAIR,"5,245,701","191,676",35%,54%
SONARWA,"6,264,782","- 1,698,070",78%,67%
BK GROUP PLC 40,,,,
