Column,Column,As at 31 December,Column,Column
,,2010,2009,2008
,Note,RwF’000,RwF’000,RwF’000
Assets,,,,
Cash in hand,3,"6,881,845","4,623,520","3,817,445"
Cash and balances with central banks,4,"22,562,505","19,099,158","6,183,850"
Due from banks,5,"38,452,178","28,754,599","25,050,666"
Loans and advances to customers,6,"101,402,657","77,095,866","72,094,224"
Financial Instruments-available-for sale,7,"268,375","315,108","315,108"
Financial investments – held-to-maturity,8,"5,224,395","12,312,906","4,494,583"
other assets,9,"4,390,670","3,277,799","3,218,892"
Intangible assets,10,"180,604","16,892","13,069"
Property and equipment,11,"18,313,417","6,375,155","5,558,552"
total assets,,"197,676,646","151,871,003","120,746,389"
Liabilities and equity,,,,
Customer deposits,12,"135,677,746","109,482,804","93,838,479"
Due to banks,13,"18,920,636","15,103,987","7,299,453"
tax payable,24 (a),"496,815","1,036,637","1,032,867"
other payables,14,"6,822,397","4,369,863","2,104,379"
Provisions,15,"18,728","18,728","18,728"
Deferred tax liabilities,25,"3,870,437","674,739","555,201"
total liabilities,,"165,806,759","130,686,758","104,849,107"
equity attributable to equity holders,,,,
share capital,16 (a),"5,005,000","5,005,000","5,005,000"
Revaluation reserve,16 (b),"7,150,542",-,-
other capital reserve,16 (c),"13,535,763","10,892,282","5,237,925"
Retained earnings,16 (d),"6,178,582","5,286,963","5,654,357"
,,"31,869,887","21,184,245","15,897,282"
total liabilities and equity,,"197,676,646","151,871,003","120,746,389"
