Column,Period Ended 31 March,Column,Year Ended 31 December,Column,Column
Financial Data (RwF Millions),2011,2010,2010,2009,2008
Assets,"211,123","156,494","197,677","151,871","120,746"
Net Loans & Advances,"104,902","84,509","101,403","77,096","72,094"
Total Deposits,"161,304","125,634","154,598","124,587","101,138"
Shareholders’ Equity,"32,785","19,391","31,870","21,184","15,897"
Net Interest Income,"3,633","2,776","12,211","10,197","9,178"
Net Non-Interest Income(1),"2,742","1,819","8,936","5,803","4,996"
Total Operating Income (Revenue),"6,375","4,595","21,147","16,000","14,174"
Total Operating Expenses,"3,073","2,152","10,043","7,059","5,673"
Profit Before Provisions(2),"3,302","2,443","11,058","8,942","8,501"
Net Provision Expense(3),463,"1,203","2,376","1,500",255
Profit for the period,"1,915",850,"6,179","5,287","5,654"
Operational Data,,,,,
Return on Average Assets(4),3.7%,2.2%,3.5%,3.9%,4.6%
Return on Average Equity(5),23.7%,17.9%,24.5%,30.7%,39.4%
Cost / Income Ratio(6),48.2%,46.8%,47.5%,44.1%,39.8%
Capital Adequacy Ratio(7),23.1%,17.7%,20.1%,19.9%,14.9%
Net Interest Margin(8),8.8%,8.6%,8.3%,8.2%,9.0%
Number of Retail Accounts,"74,145","38,451","64,843","49,100","29,724"
Number of ATMs,26,6,26,6,6
Number of Branches and Agencies,33,19,33,18,14
"Note: Return on Average Assets and Return on Average Equity for the periods ended 31 March 2011 and 31 March 2010 are annualized. The Directors authorized
the creation of a general provision of RwF 1,000 million against loans and advances as of 31 March 2011. The provision was accounted for as a reduction of
equity (“other reserves”) as of 31 March 2011.
(1) Net non-interest income is net fee and commission income, foreign exchange gains and other income.
(2) Profit before provisions is equal to total operating income less impairment on available-for-sale investments less total operating expenses
(3) Net provision expense is impairment losses on loans and advances less recoveries
(4) Return on average assets equals net income of the period divided by average total assets for the same period.
(5) Return on average equity equals net income of the period divided by average total shareholders’ equity for the same period.
(6) Cost/income ratio equals total recurring operating costs for the period divided by total operating income.
(7) Capital Adequacy Ratio equals Total Capital divided by risk weighted assets.
(8) Net interest margin equals net interest income for the period divided by average interest earning assets for the same period.",,,,,
