Column,Note,31/03/2011,31/03/2010,31/12/2010
ASSETS,,Rwf’000,Rwf’000,Rwf’000
Cash in hand,,"6,739,711","5,147,717","6,881,845"
Cash and balances with central banks,1,"21,568,663","16,000,048","22,562,505"
Due from banks,,"38,139,848","30,526,153","38,452,178"
Loans and advances to customers,2,"104,901,666","84,509,166","101,402,657"
Financial instruments – available-for-sale,4,"268,375","315,108","268,375"
Financial investments – held-to-maturity,3,"12, 211,082","8, 158,134","5, 224,395"
other assets,,"8,850,587","5,406,745","4,390,670"
Intangible assets,5,"158,772","24,422","180,604"
Property and equipment,6,"18, 284,008","6, 406,608","18, 313,417"
total Assets,,"211,122,712","156,494,101","197,676,646"
Liabilities and equity,,,,
Customer deposits,7,"147,666,398","113,821,576","135,677,746"
Due to banks,,"13,637,301","11,812,232","18,920,636"
tax payable,,"1,383,249","1,360,775","496,815"
other payables,8,"9,989,122","9,415,347","6,822,397"
Provisions,,"18,728","18,728","18,728"
Deferred tax liabilities,,"3,832,130","674,739","3,870,437"
subordinated debt,,"1,811,259",-,-
total liabilities,,"178,338,187","137,103,397","165,806,759"
Equity attributable to equity holders,,,,
share capital,10,"5,005,000","5,005,000","5,005,000"
Revaluation reserve,,"7,061,160",-,"7,150,542"
other capital reserve,9,"18,803,129","13,535,763","13,535,763"
Retained earnings,,"1,915,236","849,941","6,178,582"
,,"32,784,525","19,390,704","31,869,887"
total liabilities and equity,,"211,122,712","156,494,101","197,676,646"
