"Interest, commissions, and other revenues","240,921,133",Column,"220,522,440",Column
Interest paid to depositors and costs of services,")90,366,724(",,"(66,521,268)",
Net impairment loss on financial assets,")10,006,879(",,"(34,068,753)",
Total value added,"140,547,530",,"119,932,419",
Distribution of Value Added To Employees,,,,
"Salaries, wages, and other benefits","26,096,643",18.6%,"24,913,922",20.8%
To Government,,,,
Corporation Tax,"28,730,466",20.4%,"24,985,698",20.8%
VAT,"5,459,683",3.9%,"2,419,146",2.0%
Withholding Tax,"2,992,084",2.1%,"2,725,898",2.3%
District Taxes,"63,034",0.0%,"30,599",0.0%
PAYE Tax,"8,942,773",6.4%,"6,419,097",5.4%
,"46,188,040",32.9%,"36,580,437",30.5%
To Shareholders,,,,
Dividends paid to shareholders,"29,862,155",21.2%,"25,947,485",21.6%
To Expansion and Growth,,,,
