Column,Column,Year Ended 31 December,Column,Column
,"31 March 2011
rwF millions","2010
rwF millions","2009
rwF millions","2008
rwF millions"
Loans collateralised by:,,,,
Real estate,"45,979","38,549","13,446","15,257"
residential real estate,"5,509","4,322","1,585","1,831"
other real estate,"40,470","34,227","11,861","13,426"
Cash Deposits,"16,947","17,763","10,302","7,385"
Guarantees,"2,579","1,937","2,024",388
Banks,993,326,"2,123","2,568"
Unregistered collateral,"40,778","42,731","49,466","48,226"
sub total,"107,276","101,306","77,361","73,824"
Unsecured exposure,"3,738","4,221","3,553","4,987"
Gross total Loans and Advances,"111,014","105,527","80,914","78,811"
