Column,YE 2017,YE 2016,YE 2015,YE 2014,YE 2013,YE 2012,YE 2011,YE 2010
Profitability,,,,,,,,
"Return on Average Assets, %",3.4%,3.5%,3.9%,4.0%,4.0%,3.9%,3.6%,3.5%
"Return on Average Equity, %",20.2%,20.0%,21.7%,22.9%,22.2%,18.9%,18.6%,24.5%
"Net Interest Margin , %",10.4%,10.5%,10.1%,9.9%,11.1%,9.6%,8.4%,8.3%
"Loan Yield, %",16.2%,17.6%,19.2%,20.5%,20.5%,17.0%,16.9%,15.8%
"Interest Expense/Interest Income,%",22.3%,22.9%,22.9%,24.4%,22.2%,26.0%,26.8%,25.6%
"Cost of Funds, %",3.2%,3.3%,3.2%,3.4%,3.3%,3.4%,3.1%,2.8%
Efficiency,,,,,,,,
Cost/Income Ratio,45.2%,47.4%,47.8%,47.9%,48.4%,52.8%,48.4%,47.5%
"Costs/Average Assets, %",6.1%,6.1%,5.8%,6.2%,7.0%,6.6%,5.9%,5.8%
Personnel Costs/Total Recurring Operating Costs,50.5%,38.6%,49.4%,51.8%,45.0%,47.4%,51.8%,52.3%
"Personnel Costs/Average Total Assets, Annualised",3.1%,2.3%,2.9%,3.2%,3.1%,3.1%,2.9%,3.0%
Personnel Costs/Total Operating Income,22.9%,18.3%,23.6%,24.8%,21.8%,25.0%,25.1%,25.0%
Net Income/Total Operating Income,25.3%,27.0%,32.1%,31.5%,27.6%,30.7%,29.5%,29.2%
Total Operating Income/Average Assets %,13.5%,12.8%,12.2%,12.9%,14.4%,12.6%,12.1%,12.1%
Liquidity,,,,,,,,
"Net Loans/Total Assets,%",64.9%,60.4%,55.9%,48.4%,47.1%,57.3%,42.8%,51.3%
Liquid Assets / Total Assets,28.8%,32.8%,38.4%,45.7%,46.0%,31.9%,45.1%,37.0%
Liquid Assets / Total Deposits,42.1%,47.3%,52.9%,64.9%,65.2%,44.7%,64.9%,47.3%
Liquid Assets / Total Liabilities,34.7%,39.5%,46.7%,56.1%,55.2%,39.6%,57.4%,44.1%
Total Deposits / Total Assets,68.4%,69.4%,72.6%,70.4%,70.5%,71.3%,69.5%,78.2%
Total Deposits / Total Liabilities,82.3%,83.6%,88.2%,86.5%,84.7%,88.7%,88.4%,93.2%
Interbank Borrowings / Total Deposits,8.5%,5.4%,5.6%,4.5%,5.8%,8.0%,9.5%,12.2%
Gross Loans/Total Assets,68.2%,62.3%,57.9%,51.1%,50.2%,60.1%,45.4%,53.4%
Gross Loans / Total Deposits,99.6%,89.7%,79.7%,72.6%,71.1%,84.2%,65.3%,68.3%
Interest Earning Assets/Total Assets,91.0%,88.9%,87.8%,87.7%,88.4%,80.5%,82.0%,81.6%
"Leverage (Total Liabilities/Equity), Times",4.9,4.9,4.7,4.4,5.0,4.1,3.7,5.2
Asset Quality,,,,,,,,
"NPLs /Total Loans, %",5.6%,4.5%,4.9%,6.6%,6.9%,6.5%,8.3%,8.5%
NPL Coverage Ratio,72.9%,55.0%,57.2%,81.8%,87.4%,70.3%,69.1%,45.8%
NPL Coverage Ratio (Net Exposure),199.6%,128.4%,110.2%,169.0%,134.6%,90.0%,94.0%,62.3%
"Loan Loss reserve / Gross Loans ,%",4.8%,3.0%,3.3%,5.4%,6.1%,4.6%,5.8%,3.9%
"Average Loan Loss reserve / Average Gross Loans ,%",4.0%,3.1%,4.2%,5.7%,5.4%,5.1%,4.9%,4.3%
Large Exposures / Gross Loans,46.2%,54.3%,24.1%,18.0%,5.4%,6.5%,8.8%,14.3%
"Cost of Risk, Annualised",3.7%,2.9%,2.6%,3.3%,4.4%,2.2%,3.8%,2.0%
Capital Adequacy,,,,,,,,
Core Capital / Risk Weighted Assets,19.0%,19.0%,22.1%,25.8%,23.1%,22.4%,28.1%,18.7%
Total Qualifying Capital / Risk Weighted Assets,19.5%,19.6%,22.5%,26.3%,23.7%,23.2%,29.1%,20.1%
Off Balance Sheet Items / Total Qualifying Capital,408.3%,469.1%,442.6%,428.4%,542.5%,524.3%,363.1%,351.2%
Large Exposures / Core Capital,208.7%,227.5%,84.2%,53.5%,17.9%,22.6%,21.3%,61.1%
NPLs less Provisions / Core Capital,8.1%,10.2%,8.7%,3.5%,2.9%,6.8%,6.2%,19.7%
Market Sensitivity,,,,,,,,
Forex Exposure / Core Capital,(14.4%),(9.5%),(20.4%),(20.4%),(9.1%),(41.2%),11.7%,11.5%
Forex Loans / Forex Deposits,101.4%,68.9%,26.9%,8.4%,0.7%,1.0%,0.8%,1.0%
Forex Assets / Forex Liabilities,92.3%,95.0%,86.4%,87.5%,93.8%,61.0%,105.3%,106.7%
Forex Loans / Gross Loans,26.5%,21.3%,8.2%,3.3%,0.3%,0.3%,0.3%,0.4%
Forex Deposits/Total Deposits,26.1%,27.7%,24.3%,28.4%,33.2%,25.3%,23.8%,27.4%
Selected Operating Data,,,,,,,,
Full Time Employees,"1,215","1,225","1,140","1,019",980,877,602,454
Assets per FTE (FRw in billion),0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4
Number of Active Branches,79,79,75,70,65,59,44,33
Number of Mobibank,9,9,9,9,5,5,-,-
Number of ATMS,91,91,84,76,65,55,26,26
Number of POS Terminals,"1,250","1,002",801,656,568,405,202,97
Number of Retail current accounts,"208,592","198,067","312,369","266,239","231,409","191,632","124,248","50,073"
Number of BK Yacu Agent,"1,437","1,280","1,043",861,569,30,-,-
