For the Year ended 31 December 2017 BK Group,Column,Column,Column,Column
,2017,%,2016,%
Value Added Statement,FRw’000’,,FRw’000’,
"Interest, commissions and other revenues","110,778,158",,"93,463,520",
Interest paid to depositors and costs of services,"(30,663,773)",,"(31,941,336)",
Net impairement loss on Financial assets,"(16,489,292)",,"(10,448,958)",
Value added,"63,625,093",,"51,073,226",
Distribution of Value Added,,,,
To Employees,,,,
"Salaries, wages and other benefits","15,649,028",24.60%,"9,604,592",18.81%
To Government,,,,
Corporation Tax,"10,823,155",17.01%,"9,225,248",18.06%
VAT,"1,245,824",1.96%,"903,068",1.77%
Withholding Tax,"2,530,796",3.98%,"2,109,512",4.13%
District Taxes,"47,528",0.07%,"49,182",0.10%
PAYE Tax,"5,478,672",8.61%,"4,470,586",8.75%
,"20,125,975",31.63%,"16,757,596",32.81%
To Shareholders,,,,
Dividends paid to shareholders,"9,339,552",14.68%,"8,302,347",16.26%
To Expansion and Growth,,,,
Retained Income,"14,009,328",22.02%,"12,453,520",24.38%
Depreciation and amortisation,"4,501,210",7.07%,"3,955,171",7.74%
,"18,510,538",29.09%,"16,408,691",32.13%
Wealth distributed,"63,625,093",100.00%,"51,073,226",100.00%
