Column,Column,THE BANK,Column,THE GROUP,Column
ASSETS,Note,2017,2016,2017,2016
,,FRw’000,FRw’000,FRw’000,FRw’000
Cash in hand,17 (a),"19,731,699","15,032,721","19,731,699","15,032,721"
"Balances with the National Bank of
Rwanda",17 (b),"42,583,327","31,832,058","42,583,327","31,832,058"
Due from banks,18,"51,852,516","84,634,868","53,055,021","84,634,868"
Held to maturity investments,19(a),"94,248,923","77,962,606","94,248,923","77,962,606"
Loans and advances to customers,20(a),"471,704,315","385,824,570","471,704,315","385,824,570"
Other assets,21,"10,521,561","8,581,481","11,452,009","8,877,766"
Equity Investments,19(b),"2,621,425","1,421,425","221,425","221,425"
Property and equipment,22,"33,339,337","33,378,208","33,529,626","33,435,701"
Intangible assets,23,"557,224","449,798","678,355","514,883"
,,"727,160,327","639,117,735","727,204,700",
LIABILITIES,,,,,
Due to banks,24,"42,377,460","28,205,184","42,377,460","28,105,184"
Deposits and balances from customers,25,"457,589,724","420,465,054","455,213,393","419,017,263"
Tax Payable,15(b),"6,898,150","4,159,740","6,900,698","4,165,830"
Deferred tax liability,26,"2,350,917","6,796,020","2,351,802","6,795,553"
Dividends Payable,27,"9,378,311","8,343,104","9,378,311","8,343,104"
Other liabilities,28,"15,252,061","5,709,181","17,390,729","6,286,996"
Long-term finance,29,"70,842,175","57,137,068","70,842,175","57,137,068"
TOTAL LIABILITIES,,"604,688,798","530,815,351","604,454,568","529,850,998"
CAPITAL AND RESERVES,,,,,
Share Capital,30(i),"6,745,370","6,724,428","6,745,370","6,724,428"
Share Premium,30(ii),"18,936,176","18,695,343","18,936,176","18,695,343"
Revaluation Reserves,30(iii),"13,000,149","13,630,625","13,000,149","13,630,625"
Retained earnings,30(iv),"83,789,834","69,251,988","84,068,437","69,435,204"
TOTAL EQUITY,,"122,471,529","108,302,384","122,750,132","108,485,600"
TOTAL LIABILITIES AND EQUITY,,"727,160,327","639,117,735","727,204,700","638,336,598"
