E. MARKET RISK,Column,Column,Column
a. Interest rate risk,,"1,479,454,226","967,897,392"
b. Equity position risk,,-,-
c. Foreign exchange risk,,"9,449,241","(14,991,736)"
F. COUNTRY RISK,,,
,,31 Dec 2025,31 Dec 2024
a. Credit exposures abroad,,-,-
b. Other assets held abroad,,"529,753,000","387,510,889"
c. Liabilities abroad,,"65,137,081","61,407,467"
G. MANAGEMENT AND BO,ARD COMPOSITION,,
a. Number of Board Members,,7,7
b. Number of Independent Dir,ectors,4,4
c. Number of Non-Independen,t Directors,3,3
d. Number of Female Directors,,2,2
e. Number of Male Directors,,5,5
f. Number of Senior Manager,s,6,7
g. Number of Female Senior M,anagers,-,1
h. Number of Males Senior Ma,nagers,6,6
