"Income statement
For the Year Ended 31 December 2008",Column,Column,Column
,Note,"2008
Rwf‘000","2007
Rwf‘000"
Interest income,4,"10,761,991","8,720,016"
"Interest expense 5 (1,859,931) (1,735,290)",,,
Net interest income,,"8,902,060","6,984,726"
"Fees and commission income 6 1,176,260 979,977",,,
Interest income on financial instruments,7,"689,854","616,303"
"Foreign exchange income 8 2,584,758 2,160,551",,,
Dividend income,,"48,576","30,474"
"Other income 9 869,254 359,114",,,
Operating Income,,"14,270,762","11,131,145"
"Provision for doubtful debts 10 (255,147) (535,774)",,,
Operating expenses,11,"(5,673,328)","(4,393,968)"
Profit before taxation,,"8,342,287","6,201,403"
Taxation,12,"(2,687,930)","(1,935,154)"
Profit after taxation,,"5,654,357","4,266,249"
Earnings per share,13,124.27,93.76
Balance SheeBalance s,,,
