Column,Note,"31/03/2011
(3 months)","31/03/2010
(3 months)","31/12/2010
(12 months)"
ASSETS,,Rwf’000,Rwf’000,Rwf’000
Interest and similar income,11,"4,776,546","3,822,158","16,393,351"
Interest and similar expense,12,"(1,143,221)","(1,046,536)","(4,182,666)"
net interest income,,"3,633,325","2,775,622","12,210,685"
Fees and commissions,14,"814,810","627,131","2,997,420"
Foreign exchange gains,15,"1,706,987","1,045,519","5,247,543"
other income,16,"219,860","146,842","691,381"
total operating income,,"6,374,982","4,595,114","21,147,029"
Loan loss provision,13,"(462,588)","(1,203,025)","(2,376,281)"
Impairment losses on available for sale investments,,-,-,"(46,733)"
net operating income,,"5,912,394","3,392,089","18,724,015"
staff costs,,"1,685,596","1,253,728","5,038,341"
Depreciation of property and equipment,,"420,249","204,096","1,357,181"
Amortisation of intangible assets,,"22,682","3,489","180,602"
other operating expenses,,"944,676","690,861","3,466,499"
total operating expenses,,"3,073,203","2,152,174","10,042,623"
Profit before tax,,"2,839,191","1,239,915","8,681,392"
Income tax expense,,"(923,955)","(389,974)","(2,502,810)"
Profit for the period,,"1,915,236","849,941","6,178,582"
Earnings Per Share,,42.09,20.99,135.79
