Column,"Class
(as determined by the Group)",Subclasses
Financial assets,,
"(cid:41)inancial assets at fair value through (cid:83)rofit
or loss (FVTPL)",Financial assets held for trading,Derivative financial assets
,"Financial assets designated at fair
value through (cid:83)rofit or loss",Loan notes at FVTPL
,,"Investment securities designated
at FVTPL"
,,Policy holders assets
,,Insurance contract liabilities
Amortised cost,"Deposits and balances due from
financial institutions",
,Due from group companies,
,Loans and advances to customers,Term loans
,,Mobile loans
,,Credit cards
,,Mortgages
,,Overdrafts
,,Others
,Settlement and clearing accounts,
,Cash balances with central banks,
,Other assets,
,Investment securities,
"Financial assets at fair value through other
comprehensive income (FVOCI)",Investment securities,
,Em(cid:83)lo(cid:92)ee benefit obligations,
Financial liabilities,,
Financial liabilities at amortised cost,De(cid:83)osits due to other financial institutions,
,Deposits from customers,
,Other liabilities,
,Borrowed funds,
,Lease liabilities,
,Due to group companies,
Off-balance sheet financial instruments,,
Loan commitments,,
"(cid:42)uarantees, acce(cid:83)tances and other financial liabilities",,
