Pillar,Program,2019,Cumulative
"Education and
Leadership
Development",Secondary School Scholarships – Wings to Fly & Elimu,"10,136","26,304"
,Wings to Fly scholars qualified to join university,"1,519","9,581"
,Equity Leaders Program Global Scholars,51,514
,Equity Leaders Program Interns,537,"5,968"
,Technical and Vocational Education Training Scholars,278,"3,033"
Food and Agriculture,Medium Sized farmers,"1,836","33,127"
,Smallholder farmers,-,"638,522"
Health,Equity Afia out-patient clinics,6,11
,Clients reached through Equity Afia,"22,141","62,083"
,Client visits to Equity Afia,"62,083","154,137"
"Enterprise
Development and
Financial Inclusion","Micro, Small and Medium Enterprises trained","7,074","52,774"
,Financial Inclusion,"303,480","2,008,359"
,"MSMEs receiving disbursements under Young Africa
Works- Kenya Program","26,588","26,588"
,"Value of disbursements under Young Africa Works- Kenya
Program",Shs 12.6 Billion,Shs 12.6 Billion
"Energy and
Environment",Clean Energy products distributed,"24,212","122,524"
Social Protection,"Number of Households reached with Social Protection
Programs","214,734",2.08 Million
,Value of Disbursements via Cash Transfers,Shs 19 Billion,Shs 64 Billion
