Column,Group,Column
,2018,2017
,Shs’ millions,Shs’ millions
Equity Bank (Kenya) Limited (EBKL),,
African Development Bank,"13,875","15,581"
International Finance Corporation (IFC),"10,417","13,971"
ResponsAbility,"4,130","4,182"
European Investment Bank,"1,568","3,080"
KFW,-,"2,520"
Micro Finance Sector Support Credit (Ministry of Finance),114,160
Inter-bank money market borrowings:,,
EBKL,165,-
Equity Bank Rwanda Limited (EBRL),"2,539","2,700"
Equity Bank Tanzania Limited,665,851
Equity Bank Uganda Limited (EBUL),"1,293",463
Equity Bank Uganda Limited (EBUL),,
European Investment Bank,"1,039","2,292"
Equity Bank Tanzania Limited (EBTL),,
European Investment Bank,"4,532",-
Equity Bank Congo Limited (EBCL),,
European Investment Bank,"2,236","1,485"
"FPM, Democratic Republic of Congo (DRC)",488,519
"REFFA Fund, Democratic Republic of Congo (DRC)",-,69
BCDC,"1,020",-
TMB,"1,020",-
,"45,101","47,873"
Current,"11,792","7,884"
Non-current portion,"33,309","39,989"
,"45,101","47,873"
