Column,Equity Bank Uganda Limited,Column,Equity Bank Congo Limited,Column
,2018,2017,2018,2017
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
Value in use,"17,345","26,702","14,549","6,734"
Projected Return on Assets (ROA) – 2018,8%,7%,11%,12%
Projected Return on Assets (ROA) – 2019,14%,12%,11%,12%
Projected growth in profit margins – 2018,38%,23%,21%,8%
Projected growth in profit margins – 2019,23%,39%,19%,15%
Projected growth in non-interest income – 2018,45%,42%,20%,30%
Projected growth in non-interest income - 2019,25%,60%,20%,23%
Weighted average cost of capital,13.29%,14.46%,13.29%,14.46%
