GROUP,Software,"Work in
progress",Total
31 December 2018,Shs’ millions,Shs’ millions,Shs’ millions
Cost,,,
At start of year,"9,024","2,244","11,268"
Translation differences,163,(188),(25)
Additions,124,"1,469","1,593"
Transfers,"2,892","(2,892)",-
Disposal,(3),-,(3)
At end of year,"12,200",633,"12,833"
Amortisation,,,
At start of year,"4,272",-,"4,272"
Translation differences,183,-,183
Amortisation,"1,016",-,"1,016"
Disposal,(1),-,(1)
At end of year,"5,470",-,"5,470"
Net book value at end of year,"6,730",633,"7,363"
