KESm,December 2012,December 2013,"December 2013 vs.
December 2012"
Interest Income,"30,848","31,890",3%
"Interest Expense (6,884) (5,399) (22)%",,,
Net Interest Income,"23,964","26,491",11%
"Other Income 12,863 15,371 19%",,,
Total Income,"36,827","41,861",14%
"Provisions (1,608) (2,402) 49%",,,
"Staff Costs (7,145) (9,024) 26%",,,
Other Operating Expenses,"(10,825)","(11,285)",4%
Total Costs,"(19,579)","(22,711)",16%
PBT,"17,249","19,150",11%
Exceptional Items 170 (146),,,
"Tax (5,339) (5,726) 5%",,,
PAT,"12,080","13,278",10%
Proposed Dividend,"4,628","5,554",20%
Key Ratios,,,
NIM,13.0%,12.0%,
C/I Ratio,48.8%,48.5%,
Cost of Risk,1.3%,1.6%,
RoAE,31.3%,28.1%,
RoAA,5.5%,5.1%,
