NAME,NO. OF SHARES,%
HELIOS EB INVESTORS,"905,162,550",24.45
BRITISH-AMERICAN INVESTMENTS COMPANY (K) LTD,"263,455,230",7.12
EQUITY BANK EMPLOYEES’ SHARE OWNERSHIP PLAN,"138,534,200",3.74
JAMES NJUGUNA MWANGI,"127,809,180",3.45*
STANDARD CHARTERED NOMINEES NON-RESD. A/C 9069,"123,637,800",3.34
EQUITY NOMINEES LIMITED A/C 00104,"110,000,000",2.97
FORTRESS HIGHLANDS LIMITED,"101,010,000",2.73
ANDREW MWANGI KIMANI,"90,426,800",2.44
AIB NOMINEE A/C SOLIDUS HOLDINGS LTD,"90,114,910",2.43
MAEWA HOLDINGS LTD,"64,371,200",1.74
"OTHER 24,852 SHAREHOLDERS","1,688,255,150",45.59
TOTAL SHARES,"3,702,777,020",100.00
