Name,Bank Shares,% Shareholding
Helios EB investors,"90,516,255",24.45
British-American investments,"41,910,289",11.32
nelson muguku njoroge,"22,545,255",6.09
James njuguna mwangi,"19,898,505",5.37
John kagema mwangi,"15,139,690",4.09
Equity Bank Employee Shares Ownership Plan (ESOP),"15,018,400",4.05
Andrew mwangi kimani,"10,928,040",2.95
Fortress Highlands Limited,"10,101,000",2.73
AiB nominee A/C Solidus Holdings,"9,011,400",2.43
Peter kahara munga,"6,469,379",1.75
"Other 9,550 shareholders","128,739,489",34.77
Total Shares,"370,277,702",100
