31 December 2015,Column,Column,Column,Column,Column,Column
Assets,,,,,,
Cash and cash equivalents,-,"70,170",-,-,"70,170","70,170"
Loans and advances,-,"269,893",-,-,"269,893","312,442"
Investment securities,"20,986",-,"21,789",-,"42,775","49,897"
"Amounts due from related
parties",-,272,-,-,272,272
Funds in clearing,-,"1,543",-,-,"1,543","1,543"
Accounts receivable,-,"5,900",-,-,"5,900","5,900"
,"20,986","347,778","21,789",-,"390,553","440,224"
Liabilities,,,,,,
Deposits from customers,-,-,-,"(303,205)","(303,205)","(344,774)"
Borrowed funds,-,-,-,"(42,894)","(42,894)","(48,587)"
Other liabilities,-,-,-,(567),(567),(567)
,-,-,-,"(346,666)","(346,666)","(393,928)"
