Column,Column,2018,2017
,Notes,Shs’ millions,Shs’ millions
Assets,,,
"Cash, deposits and balances due from financial institutions",19,"7,675","8,318"
Due from related parties,28(f),95,313
Other assets,22,236,-
Current income tax,18,11,-
Investments in subsidiary companies,17(a),"66,786","65,761"
Deferred income tax,23,83,-
Total assets,,"74,886","74,392"
Liabilities,,,
Due to related parties,28(g),422,"2,667"
Other liabilities,25,3,259
Current income tax,18,-,3
Total liabilities,,425,"2,929"
Equity,,,
Share capital,27(a),"1,887","1,887"
Share premium,27(b),"16,063","16,063"
Retained earnings,,"56,511","53,513"
Total equity,,"74,461","71,463"
Total equity and liabilities,,"74,886","74,392"
