Company 2018,"Less than 3
Months",Totals
,Shs’ millions,Shs’ millions
Financial assets,,
Balances and deposits due from financial institutions,"7,675","7,675"
Amounts due from related party,95,95
Others assets,236,236
Total financial assets,"8,006","8,006"
Financial liabilities,,
Amounts due to related parties,422,422
Other liabilities,3,3
Total financial liabilities,425,425
Liquidity gap at 31 December 2018,"7,581","7,581"
Company 2017,,
Financial assets,,
Balances and deposits due from financial institutions,"8,318","8,318"
Amounts due from related party,313,313
Total financial assets,"8,631","8,631"
Financial liabilities,,
Amounts due to related parties,"2,667","2,667"
Other liabilities,259,259
Total financial liabilities,"2,926","2,926"
Liquidity gap at 31 December 2017,"5,705","5,705"
