Column,Column,2018,2017
,Notes,Shs’ millions,Shs’ millions
Profit for the year,,"19,824","18,918"
"Other comprehensive income:
Items that will be reclassified to profit or loss:",,,
"Fair value (losses) / gains on investments in financial
instruments measured at FVOCI",21,(944),"1,486"
Deferred income tax,23,310,(189)
,,(634),"1,297"
Exchange differences on translation of foreign operations,,"(1,035)","(1,502)"
Other comprehensive income for the year,,"(1,669)",(205)
"Total comprehensive income for the year, net of tax",,"18,155","18,713"
Total comprehensive income attributable to:,,,
Owners of the parent,,"18,022","18,664"
Non-controlling interest,,133,49
,,"18,155","18,713"
