Financial assets fair value disclosures,Column,Column,Column,Column
Cash and cash equivalents,-,"64,446",-,"64,446"
Loans and advances,-,"296,421",-,"296,421"
Investment securities-held to maturity,"30,950",-,-,"30,950"
Investment securities-available for sale,"80,347",-,-,"80,347"
Amounts due from related parties,-,383,-,383
Funds in clearing,-,"1,258",-,"1,258"
Currency swaps and forwards,-,79,-,79
Accounts receivable and interest receivable,-,"9,625",-,"9,625"
Total financial assets at fair value,"111,297","372,212",-,"483,509"
Financial liabilities fair value disclosures,,,,
Deposits from customers,-,"(351,969)",-,"(351,969)"
Borrowed funds,-,"(68,925)",-,"(68,925)"
Other liabilities,-,"(7,380)",-,"(7,380)"
Total financial liabilities at fair value,-,"(428,274)",-,"(428,274)"
