Strategic Program Pillars,Program,2020,Cumulative
"Education and Leadership
Development",Secondary School Scholarships – Wings to Fly and Elimu,"10,136","26,304"
,Wings to Fly scholars qualified to join university,"1,519","9,581"
,Equity Leaders Program Global Scholars,119,633
,Equity Leaders Program Interns,745,"6,713"
,Technical and Vocational Education Training Scholars,278,"3,033"
Food and Agriculture,Medium Sized farmers,"6,462","39,589"
,Farmers Impacted,1.4 million,2 million
Health,Equity Afia out-patient clinics,22,33
,Patients reached through Equity Afia,"60,990","123,073"
,Patients visits to Equity Afia,"151,423","305,560"
"Enterprise Development and
Financial Inclusion","Micro, Small and Medium Enterprises trained","68,704","121,478"
,Financial Inclusion,"174,256","2,182,615"
Energy and Environment,Clean Energy products distributed,"121,384","243,908"
Social Protection,Individuals reached with Social Protection Programs,1.25 million,3.33 million
,Disbursements via Cash Transfers,Shs.13.4Billion,Shs.77.4 Billion
