Column,"Country of
incorporation",Shareholding,2018,2017
,,,Shs’ millions,Shs’ millions
Banking,,,,
Equity Bank (Kenya) Limited,Kenya,100%,"40,733","40,733"
Equity Bank Congo Limited,DRC,86%,"6,748","6,748"
Equity Bank (South Sudan) Limited,South Sudan,100%,"5,712","5,712"
Equity Bank Uganda Limited,Uganda,100%,"5,005","5,005"
Equity Bank Tanzania Limited,Tanzania,100%,"3,839","2,814"
Equity Bank (Rwanda) Limited,Rwanda,100%,"2,807","2,807"
Telecommunication,,,,
Finserve Africa Limited,Kenya,100%,"1,001","1,001"
Investment banking,,,,
Equity Investment Bank Limited,Kenya,100%,420,420
Insurance brokerage,,,,
Equity Insurance Agency Limited,Kenya,100%,100,100
Consultancy,,,,
Equity Consulting Group Limited,Kenya,100%,0.5,0.5
Equity Investment Services Limited,Kenya,100%,420,420
Custodial services,,,,
Equity Nominees Limited,Kenya,100%,0.1,0.1
Total,,,"66,786","65,761"
