Pillar,Objective,Outcome
Reliability,"To meet our customers’ expectations of a seamless
customer experience, by always ensuring the availability
of efficient and reliable services, as well as production
resilience and operational excellence.","Running and building
business"
Legacy,"To streamline legacy issues that affect service offerings
and decision-making: i.e., systems; people; buy vs build.",
Customer experience,"To address all customer-experience pain-points, ensure
system accessibility, availability, and stability, and to
digitise operations.",
Process efficiency,"To achieve and maintain process efficiency across the
Group to improve both customer and user experience,
save costs, grow revenue, and optimally manage
resources.",
"Telco and convergence;
Financial inclusion","To build end-state capabilities to deliver the capacity
needed for telco (B2B) business, and to identify
opportunities for Equitel, the Group’s mobile MVNO.",Transforming business
Tech acquisition,"To identify, acquire and scale up businesses that can
assist the Group with its strategic objectives.",
Data as an asset,"To use data insights to drive day-to-day decision-making,
improve personalisation offers to customers, boost
employee productivity and drive innovation.",
Agility,"To be agile enough to anticipate, prepare and respond to
the ever-changing and evolving challenges and to quickly
adapt to the new, rapid, and ongoing forces of change.",Driving delivery
Talent management,"To implement strategies that attract and retain top
talent in order to achieve and sustain all other strategic
initiatives.",
"Architecture, governance,
and compliance","To develop a scalable governance framework that provides
transparency and controls in delivering value to business
within agreed levels of assurance and compliance.",Assuring business
Cybersecurity,"To enhance existing controls to provide assurance to
stakeholders, customers, and internal staff, to achieve
optimal delivery and business value.",
Innovation culture,"To develop an environment – people, process, technology,
and controls – that inculcates innovation as a way of
delivering value and sustaining technology business.",
