Column,2020,Column,Column,Column
,Stage 1,Stage 2,Stage 3,Total
,"12-month
ECL",Lifetime ECL,Lifetime ECL,ECL
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
,"4,773","3,929","14,033","22,735"
,559,260,"2,548","3,367"
,"5,332","4,189","16,581","26,102"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement
Net financial assets originated
Financial assets derecognised
Translation differences",484,(369),(115),-
,(392),687,(295),-
,"(1,789)","(1,430)","3,219",-
,963,"2,600","11,218","14,781"
,"1,648","3,700","8,938","14,286"
,"(1,077)",(603),"(3,763)","(5,443)"
,(793),(26),212,(607)
,(956),"4,559","19,414","23,017"
,-,-,"(1,115)","(1,115)"
,"4,376","8,748","34,880","48,004"
