Category,1st,2nd,3rd
Best Overall Bank,Equity Bank,,
Best Bank Tier 1 (Big Banks),Equity Bank,,
Best Bank in SME Banking,Equity Bank,,
Best Bank in Retail Banking,Equity Bank,,
Best Microfinance Bank,Equity Bank,,
Best in Agency Banking,Equity Bank,,
Best in Asset Finance,,Equity Bank,
Best Bank in Mortgage Finance,,Equity Bank,
Product Marketing,,Equity Bank,
Best in Internet Banking,,Equity Bank,
Best in Mobile Banking,,,Equity Bank
Fastest Growing Bank,,,Equity Bank
Best in Customer Satisfaction,,Equity Bank,
