Subsidiaries,Principal Activity,Percentage Shareholding
Equity Insurance Agency Limited,Insurance brokerage,100%
Equity Investment Bank Limited,Investment banking,100%
Equity Investment Services Limited,Non-trading,100%
Equity Consulting Group Limited,Non-trading,100%
Equity Nominees Limited,Custodial services,100%
Finserve Africa Limited,Infrastructure services,100%
Equity Bank (Kenya) Limited,Banking,100%
Equity Bank (South Sudan) Limited,Banking,100%
Equity Bank (Rwanda) Limited,Banking,100%
Equity Bank (Tanzania) Limited,Banking,100%
Equity Bank (Uganda) Limited,Banking,100%
ProCredit Bank Limited (DRC),Banking,79%
