KESm,Q1 2013,Q1 2014,Growth
Interest Income,"7,987","8,417",5%
"Interest Expense (1,115) (1,404) 19%",,,
Net Interest Income,"6,872","7,012",2%
"Other Income 3,336 4,132 24%",,,
Total Income,"10,208","11,145",9%
Provisions (682) (316) (54%),,,
"Staff Costs (1,975) (2,415) 22%",,,
Other Operating Expenses,"(3,082)","(3,012)",(2%)
Total Costs,"(5,739)","(5,743)",0%
Exceptional Items,47,50,5%
"PBT 4,516 5,452 21%",,,
"Tax (1,302) (1,573) 21%",,,
PAT,"3,214","3,879",20%
Key Ratios,,,
NIM,13.5%,11.6%,
C/I Ratio,50%,48.7%,
Cost of Risk,1.98%,0.72%,
RoAE,30.7%,30.5%,
RoAA,5.2%,5.4%,
