31 December 2015,Column,Column,Column,Column,Column,Column,Column
Assets,,,,,,,
"Cash balances and deposits
in financial institutions","70,170","32,209","37,961",-,-,-,-
"Loans and advances to cus-
tomers","269,893",-,"25,715","7,460","22,732","120,010","93,976"
Investment securities,"42,775",-,"2,628","1,726","4,662","9,796","23,963"
,"382,838","32,209","66,304","9,186","27,394","129,806","117,939"
Liabilities,,,,,,,
Deposits from customers,"303,206","98,346","77,446","9,486","23,603","94,325",-
Borrowed funds,"42,895",-,"11,921",350,"4,454","19,966","6,204"
,"346,101","98,346","89,367","9,836","28,057","114,291","6,204"
"Interest rate sensitivity gap
at 31 December 2015","36,737","(66,137)","(23,063)",(650),(663),"15,515","111,735"
