Financial assets fair value disclosures,Column,Column,Column,Column
Cash and cash equivalents,-,"70,170",-,"70,170"
Loans and advances,-,"312,442",-,"312,442"
Investment securities-Available for sale,"20,986",-,-,"20,986"
Investment securities-Held to maturity,"28,911",-,-,"28,911"
Amounts due from related parties,-,272,-,272
Funds in clearing,-,"1,543",-,"1,543"
Accounts receivable,-,"5,900",-,"5,900"
Total financial assets at fair value,"49,897","390,327",-,"440,224"
Financial liabilities fair value disclosures,,,,
Deposits from customers,-,"344,774",-,"344,774"
Borrowed funds,-,"48,587",-,"48,587"
Other liabilities,-,567,-,567
Total liabilities at fair value,-,"393,928",-,"393,928"
