Column,2018,Column,Column,Column,2017
,Stage 1,Stage 2,Stage 3,Total,
,12 month ECL,Lifetime ECL,Lifetime ECL,,
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"Loss allowance as
at 1 January","2,513","10,900","6,170","19,583","8,127"
Transfer to 12 months ECL,336,(228),(108),-,"3,431"
"Transfer to Lifetime ECL not
credit impaired",(132),273,(141),-,-
"Transfer to Lifetime ECL
credit impaired",(63),"(2,407)","2,470",-,-
"Net remeasurement of loss
allowance",(454),(85),"2,590","2,051",-
"Net financial assets originated
or purchased","1,606","1,207","4,922","7,735",-
Financial assets derecognised,(814),"(2,619)","(2,639)","(6,072)",-
,479,"(3,859)","7,094","3,714","3,431"
Write offs,-,(2),"(3,812)","(3,814)","(4,109)"
"Loss allowance as at 31
December","2,992","7,039","9,452","19,483","7,449"
Net loans and advances,,,,"292,136","273,922"
Current,,,,"62,432","73,271"
Non-current,,,,"229,704","200,651"
,,,,"292,136","273,922"
