Shs ‘millions,Column,Column,Column,Column,Column,Column
,EBKL,EBCL,EBTL,EBUL,EBRL,EBSSL
Risk Weighted Assets,"400,289","26,462","22,401","25,284","17,952",766
Core Capital,"55,864","6,111","2,546","4,615","3,390","2,984"
Total Capital,"55,864","6,111","3,022","4,615","3,390","2,984"
Core capital / TRWA,15.3%,23.1%,11.4%,18.3%,18.9%,389.5%
Statutory minimum,10.5%,8.0%,10.5%,10.5%,10.5%,10.5%
Excess,4.8%,15.1%,0.9%,7.8%,8.4%,379.0%
Total capital / TRWA,15.3%,23.1%,13.5%,19.6%,18.9%,389.5%
Statutory minimum,14.5%,10.0%,14.5%,14.5%,14.5%,14.5%
Excess,0.8%,13.1%,-1.0%,5.1%,4.4%,375.0%
Core capital / deposits,17.9%,14.0%,15.6%,19.2%,16.8%,56.8%
Statutory minimum,10.5%,8.0%,8.0%,8.0%,8.0%,8.0%
Excess,7.4%,6.0%,7.6%,11.2%,8.8%,48.8%
