SHAREHOLDERS NAME,NUMBER OF SHARES,% OF SHAREHOLDING
ARISE B.V.,"452,581,275",11.99
STANBIC NOMINEES LTD A/C NR3530153-1,"131,962,255",3.49
JAMES NJUGUNA MWANGI*,"127,809,180",3.38
BRITISH-AMERICAN INVESTMENTS COMPANY KENYA LIMITED,"118,890,750",3.15
EQUITY BANK EMPLOYEE SHARE OWNERSHIP PLAN (ESOP)**,"108,215,400",2.86
FORTRESS HIGHLANDS LIMITED,"101,010,000",2.67
AIB NOMINEE A/C SOLIDUS HOLDINGS LTD,"90,114,910",2.38
EQUITY NOMINEES LIMITED A/C 00104,"88,644,584",2.29
MAEWA HOLDINGS LTD,"64,371,200",1.70
EQUITY NOMINEES LIMITED A/C 00161,"64,142,900",1.69
OTHER Shareholders,"2,427,932,348",64.33
TOTAL,"3,773,674,802",100%
