Column,Group,Column,Company,Column
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
,2018,2017,2018,2017
Cash in hand,"19,877","11,039","7,675","8,318"
Cash balances with banks,"6,289","10,215",-,-
Unrestricted balances with central banks,"13,958","17,836",-,-
Money market placements,"20,649","29,492",-,-
,"60,773","68,582","7,675","8,318"
12 month ECL:,,,,
At 1 January – Initial re-measurement,(242),-,,-
Re-measurement during the year,42,-,,-
,(200),-,-,-
Included in cash and cash equivalents,"60,573","68,582","7,675","8,318"
Restricted balances with central banks,"14,046","11,039",-,-
Net carrying amount,"74,619","79,621","7,675","8,318"
Movement in restricted balances:,,,,
At start of year,"11,039","8,913",-,-
Movement during the year,"3,007","2,126",-,-
At end of year,"14,046","11,039",-,-
