KESm,Q1 2012,Q1 2013,Q1 2013 vs. Q1 2012
Interest Income,"7,322","7,987",9.1%
"Interest Expense (1,626) (1,115) (31.4)%",,,
Net Interest Income,"5,696","6,872",20.6%
"Other Income 3,318 3,336 0.5%",,,
Total Income,"9,014","10,208",13.2%
Provisions (729) (682) (6.4)%,,,
Operating Costs,"(4,584)","(5,057)",10.3%
Exceptional Items 33 47 42.4%,,,
PBT,"3,735","4,516",20.9%
"Tax (1,098) (1,302) 18.6%",,,
PAT,"2,637","3,214",21.9%
Key Ratios,,,
NIM,13.4%,13.5%,
C/I Ratio,50.9%,49.5%,
Cost of Risk,2.48%,1.98%,
RoAE,31.4%,30.7%,
RoAA,5.2%,5.2%,
