Column,Group,Column
,2018,2017
,Shs’ millions,Shs’ millions
Amortised cost (Held to maturity as per IAS 39),,
At start of year,"20,532","23,409"
Purchase of investment securities,"2,778","4,484"
Maturity of securities,"(4,837)","(7,361)"
Translation differences,54,-
At end of year,"18,527","20,532"
12 month ECL:,,
At 1 January – Initial re-measurement,13,-
Re-measurement during the year,(3),-
At 31 December,10,-
Net carrying amount,"18,517","20,532"
FVOCI (Available for sale as per IAS 39),,
At start of year,"107,470","77,180"
Purchase of investment securities,"151,846","116,688"
Sale / maturity of investment securities,"(115,837)","(87,884)"
Net (loss) gain on fair valuation,(944),"1,486"
Translation differences,(34),-
At end of year,"142,501","107,470"
12 month ECL:,,
At 1 January – Initial re-measurement,(48),-
Re-measurement during the year,(18),-
,(66),-
Net carrying amount,"142,435","107,470"
