Column,Column,2018,2017
,Notes,Shs’ millions,Shs’ millions
Interest income,6,"53,230","48,410"
Interest expense,6,"(11,808)","(10,841)"
Net interest income,,"41,422","37,569"
Fee and commission income,7(a),"18,264","19,280"
Fee and commission expense,7(b),"(2,993)","(2,938)"
Net fee and commission income,,"15,271","16,342"
Net foreign exchange income,8,"4,856","6,053"
Other operating income,9,"1,964","1,543"
Credit impairment losses,11,"(2,936)","(2,716)"
,,"3,884","4,880"
Net operating income,,"60,577","58,791"
Personnel expenses,12,"(11,544)","(11,545)"
Operating lease expenses,13,"(2,257)","(2,171)"
Depreciation and amortisation,10,"(4,441)","(4,822)"
Other operating expenses,16,"(13,632)","(11,925)"
Loss on net monetary position,35,(240),"(1,446)"
Operating expenses,,"(32,114)","(31,909)"
Profit before income tax,,"28,463","26,882"
Income tax expense,18,"(8,639)","(7,964)"
Profit for the year,,"19,824","18,918"
Profit attributable to:,,,
Owners of the parent,,"19,691","18,869"
Non-controlling interest,,133,49
,,"19,824","18,918"
Earnings per share (basic and diluted) (Shs),29,5.25,5.00
