Column,"Share
capital","Share
premium","Retained
earnings","Total
equity"
Year ended 31 December 2018,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
At start of year,"1,887","16,063","53,513","71,463"
"Changes on initial application of IFRS 9,
net of tax",-,-,(2),(2)
Total comprehensive income:,,,,
Profit for the year,-,-,"10,547","10,547"
Dividends (Note 27(g)):,,,,
Final 2017 dividend declared and paid,-,-,"(7,547)","(7,547)"
At end of year,"1,887","16,063","56,511","74,461"
Year ended 31 December 2017,,,,
At start of year,"1,887","16,063","52,937","70,887"
Total comprehensive income:,,,,
Profit for the year,-,-,"8,123","8,123"
Dividends (Note 27(g)):,,,,
Final 2016 dividend declared and paid,-,-,"(7,547)","(7,547)"
At end of year,"1,887","16,063","53,513","71,463"
