Exposure to credit risk,Column,Column,Column,Column,Column
,2018,,,,2017
,Stage 1,Stage 2,Stage 3,Total,
,12 month ECL,Lifetime ECL,Lifetime ECL,,
Amortised cost,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"Individually and collectively
impaired",,,,,
Grade 3: Substandard,-,-,"8,152","8,152","4,504"
Grade 4: Doubtful,-,-,"11,718","11,718","8,082"
Grade 5: Loss,-,-,"3,006","3,006","2,856"
Gross amount,-,-,"22,875","22,875","15,442"
Provision for impairment losses,-,-,"(9,452)","(9,452)","(5,216)"
Carrying amount,-,-,"13,423","13,423","10,226"
Individually and Collectively impaired,,,,,
Grade 1: Normal,"245,135",-,-,"245,135","241,316"
Grade 2: Watch,-,"43,609",-,"43,609","24,613"
Gross amount,"245,135","43,609",-,"288,744","265,929"
Provision for impairment losses,"(2,992)","(7,039)",-,"(10,031)","(2,233)"
Carrying amount,"243,143","36,570",-,"278,713","263,696"
Total carrying amount,,,,"292,136","273,922"
Fair value,,,,,
Loans notes,,,,"5,091","5,170"
Total carrying amount,,,,"297,227","279,092"
