Column,Column,2018,2017
,Notes,Shs’ millions,Shs’ millions
Interest income,6,212,229
Dividend income,28 (h),"10,450","8,300"
Other operating income,9,44,29
Operating income,,"10,706","8,558"
Credit impairment losses,11,(35),-
Personnel expenses,12,(55),(29)
Other operating expenses,16,(51),(329)
Operating expenses,,(141),(358)
Profit before income tax,,"10,565","8,200"
Income tax expense,18,(18),(77)
Profit for the year,,"10,547","8,123"
"Other comprehensive income for the year, net of tax",,-,-
"Total comprehensive income for the year, net of tax",,"10,547","8,123"
