Column,Group,Column,Company,Column
,2018,2017,2018,2017
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
Settlement and clearing accounts,"1,749","2,927",-,-
Prepaid expenses,"3,429","2,889",-,-
Refundable deposits,548,534,-,-
Sundry debtors,"2,757",-,-,-
Other assets,"4,375","4,281",511,-
,"12,858","10,631",511,-
12 month ECL:,,,,
At 1 January – Initial re-measurement,(439),-,(240),-
Re-measurement during the year,(24),-,(35),-
,(463),-,275,-
Net carrying amount,"12,395","10,631",236,-
