Financial assets:,Column,Column,Column,Column,Column,Column
"Cash balances and deposits in financial
institutions","64,446",-,-,-,-,"64,446"
Loans and advances to customers,"42,076","15,196","18,771","125,651","93,000","294,694"
Investment securities,"34,902","2,042","3,271","29,403","41,679","111,297"
"Accounts receivable and interest
receivable","9,625",-,-,-,-,"9,625"
Currency swaps and forwards,79,-,-,-,-,79
Funds in clearing,"1,258",-,-,-,-,"1,258"
Total financial assets,"152,386","17,238","22,042","155,054","134,679","481,399"
Financial liabilities:,,,,,,
Deposits from customers,"111,031","24,259","21,719","196,211",7,"353,227"
Borrowed funds,"4,750",592,"3,077","50,229","5,299","63,947"
Other liabilities,"7,380",-,-,-,-,"7,380"
Total financial liabilities,"123,161","24,851","24,796","246,440","5,306","424,554"
"Liquidity gap at 31 December, 2016","29,225","(7,613)","(2,754)","(91,386)","129,373","56,845"
