Column,Foreign currency exposure – Group (continued),Column,Column,Column,Column,Column
,US$,GBP,Euro,ZAR,Others,Total
,Shs’ millions,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
31 December 2018,,,,,,
Cash and cash equivalents,"24,250",455,"1,521",39,48,"26,313"
Loans and advances to customers,"106,204",39,192,-,-,"106,435"
Investment securities,"14,337",-,-,-,"5,328","19,665"
Other assets,"1,710",-,119,10,217,"2,056"
Total assets,"146,501",494,"1,832",49,"5,593","154,469"
Customer deposits,"94,844",486,"2,312",4,40,"97,686"
Borrowed funds,"38,378",-,-,-,58,"38,436"
Other liabilities,"5,922",2,136,24,12,"6,096"
Total liabilities,"139,144",488,"2,448",28,110,"142,218"
Net financial position,"7,357",6,(616),21,"5,483","12,251"
31 December 2017,,,,,,
Cash and cash equivalents,"35,808",645,"1,548",10,303,"38,314"
Loans and advances to customers,"86,687",46,289,-,-,"87,022"
Investment securities,-,-,-,-,"6,654","6,654"
Other assets,"3,074",4,35,-,357,"3,470"
Total assets,"125,569",695,"1,872",10,"7,314","135,460"
Customer deposits,"81,234",355,"2,296",1,95,"83,981"
Borrowed funds,"43,046",-,-,-,-,"43,046"
Other liabilities,"8,271",6,76,-,302,"8,655"
Total liabilities,"132,551",361,"2,372",1,397,"135,682"
Net financial position,"(6,982)",334,(500),9,"6,917",(222)
