Group,"IAS 39 carrying
amount 31
December 2017","Reclassifications /
(Remeasurements)","IFRS 9 carrying
amount 1
January 2018"
Financial assets,Shs’ millions,Shs’ millions,Shs’ millions
Amortised cost:,,,
"Cash and balances due to financial institutions
Balance as per IAS 39","68,582",,
Remeasurement,,(242),
Balance as per IFRS 9,,,"68,340"
Restricted balances with central banks,,,
Balance as per IAS 39 and Balance as per IFRS 9,"11,039",-,"11,039"
"Investment securities at amortised cost
Opening balance as per IAS 39",-,,
"Additions: From financial assets held to
maturity (IAS 39)",,"20,532",
Remeasurement: ECL allowance,,(13),
Closing balance as per IFRS 9,,,"20,519"
Held to maturity investment securities,,,
Balance as per IAS 39,"20,532",,
Subtraction: To amortised cost (IFRS 9),,"(20,532)",
Balance as per IFRS 9,,,-
Due from related parties,,,
Balance as per IAS 39 and Balance as per IFRS 9,449,-,449
Loans and advances from customers,,,
Balance as per IAS 39,"273,922",,
Remeasurement,,"(12,134)",
Balance as per IFRS 9,,,"261,788"
Other assets,,,
Balance as per IAS 39,"10,631",,
Remeasurement,,(439),
Balance as per IFRS 9,,,"10,192"
Total financial assets measured at amortised cost,"385,155","12,828","372,327"
