Column,Column,2018,2017
,Notes,Shs’ millions,Shs’ millions
Assets,,,
"Cash, deposits and balances due from financial institutions",19 (a),"74,619","79,621"
Derivative financial asset,33,225,253
Investment securities,21,"160,952","128,002"
Due from related parties,28 (f),24,449
Current income tax,18,632,"2,193"
Loans and advances to customers,20,"297,227","279,092"
Other assets,22,"12,395","10,631"
Property and equipment,14 (a),"10,276","10,865"
Intangible assets,15,"10,466","10,099"
Deferred income tax,23,"6,117","2,706"
Prepaid leases,14 (b),451,554
Total assets,,"573,384","524,465"
Liabilities,,,
Deposits from customers,24,"422,758","373,143"
Borrowed funds,26,"45,101","47,873"
Other liabilities,25,"10,343","9,832"
Current income tax,18,185,411
Deferred income tax,23,40,64
Total liabilities,,"478,427","431,323"
Equity,,,
Share capital,27(a),"1,887","1,887"
Share premium,27(b),"16,063","16,063"
Retained earnings,,"85,034","79,082"
FVOCI reserve,27(c),(116),518
Loan loss reserve,27(d),16,"2,617"
Foreign currency translation reserve,27( f),"(8,697)","(7,662)"
Other reserves,27(e),(113),(113)
Equity attributable to owners of the Company,,"94,074","92,392"
Non-controlling interests,,883,750
Total equity,,"94,957","93,142"
Total equity and liabilities,,"573,384","524,465"
