Name,No. of Shares,%
NORFININVEST AS,"452,581,275",11.99
BRITISH-AMERICAN INVESTMENTS COMPANY (KENYA) LIMITED,"208,358,230",5.52
JAMES NJUGUNA MWANGI,"127,809,180",3.39
EQUITY BANK EMPLOYEE SHARE OWNERSHIP PLAN,"122,581,800",3.25
FORTRESS HIGHLANDS LIMITED,"101,010,000",2.68
STANDARD CHARTERED NOMINEES LIMITED A/C KE002427,"96,738,497",2.56
STANDARD CHARTERED NOMINEES NON-RESD. A/C 9257,"95,787,570",2.54
EQUITY NOMINEES LIMITED A/C 00104,"93,171,804",2.47
STANBIC NOMINEES LTD A/C NR3530153-1,"90,516,255",2.40
AIB NOMINEE A/C SOLIDUS HOLDINGS LTD,"90,114,910",2.39
"OTHER 28,304 SHAREHOLDERS","2,295,005,281",60.82
TOTAL SHARES,"3,773,674,802",100%
