"As at 31 December, 2016:",Column,Column,Column,Column,Column,Column,Column
Assets,,,,,,,
Cash and cash equivalents,"30,759",731,"1,712",74,85,424,"33,785"
Loans and advances to customers,"86,456",45,317,-,-,-,"86,818"
Other assets,"2,152",256,90,-,-,1,"2,499"
Total Assets,"119,367","1,032","2,119",74,85,425 1,"23,102"
Customer deposits,"66,932",279,"2,777",2,-,22,"70,012"
Borrowed funds,"45,167",-,-,-,-,-,"45,167"
Other liabilities,"2,610",15,126,-,-,-,"2,751"
Total liabilities,"114,709",294,"2,903",2,-,22 1,"17,930"
Net financial position,"4,658",738,(784),72,85,403,"5,172"
