Note,2017,2016
,KShs. ‘000,KShs. ‘000
35(a),"(1,903,215)","(2,337,522)"
11(a),"(16,248)","(5,962)"
12,"(25,037)","(87,170)"
13(a),"(847,751)","(624,788)"
,"(848,606)","(667,666)"
16,"(759,901)","(763,962)"
,"149,225","51,900"
13(a),-,"600,000"
21,-,"(50,238)"
18/19,"(829,770)","(748,675)"
18/19,"1,123,646","898,309"
6,"40,070","53,876"
6,"118,463","161,788"
,"2,746,578","2,065,053"
,"850,669","882,465"
,"1,029,800",-
,"66,521","36,325"
,"1,096,321","36,325"
,"43,775","(1,418,732)"
,"2,497,436","3,916,168"
23,"2,541,211","2,497,436"
