ii) General insurance business,Column,Column
Class of business,2017,2016
,KShs.‘000,KShs.‘000
Fire domestic,"12,169","4,412"
Fire industrial,"103,738","19,280"
Liability,"61,907","25,541"
Marine,"38,576","5,926"
Motor private,"425,522","249,479"
Motor commercial,"283,460","158,242"
Motor PSV,"131,069","85,319"
Personal accident,"21,568","10,803"
Medical,"808,469","200,162"
Theft,"60,501","21,030"
Workmen compensation,"50,963","14,972"
Miscellaneous,"26,255","18,155"
Total general business gross premium income,"2,042,915","828,207"
Total group gross premium income,"6,369,847","5,224,546"
"4. b) Premiums ceded to reinsurers
Section 29(1) of the Insurance Act requires all registered underwriters to have in place appropriate reinsurance arrangements being arrangements approved by the Commissioner
of Insurance in respect of insurance business underwritten in the course of the business.
The premiums ceded to reinsurers can be analyzed by the main classes of business as follows;",,
,2017,2016
,KShs.‘000,KShs.‘000
Long term insurance business,,
Ordinary life,"27,287","29,550"
Super-annuation,"372,037","182,525"
General insurance business,"554,308","180,266"
Total premiums ceded to reinsurers,"953,632","392,341"
