Column,Fully Performing,Past due but not impaired,Past due and impaired,Total
At 31 December 2016:,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Financial assets:,,,,
Public sectors stocks and loans,"6,302,671",-,-,"6,302,671"
Held to maturity financial assets,"8,836,392",-,-,"8,836,392"
Reinsurance assets,"554,983",-,-,"554,983"
Receivables and other financial assets,"798,792",-,-,"798,792"
Mortgages,"362,230",-,"6,074","368,304"
Policy loans,"564,361",-,297,"564,658"
Insurance receivables,"550,622",-,"1,213,547","1,764,169"
Deposits with financial institutions,"2,033,481",-,-,"2,033,481"
Cash at bank,"463,955",-,-,"463,955"
Gross financial assets,"20,467,487",-,"1,219,918","21,687,405"
All amounts that are past due and impaired have been provided for,,,,
