d) Other operating revenue and expenses,Column,Column,Column,Column
,Group,,Company,
,2017,2016,2017,2016
,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Plot sales,"31,700","186,600","31,700","186,600"
Other income,"97,736","85,407","119,221","309,718"
Total other income,"129,436","272,007","150,921","496,318"
"7. Details of expenses
a) Claims and benefits paid",,,,
,,,Group,
,,,2017,2016
,,,KShs.’000,KShs.’000
Long term insurance contracts with fixed and guaranteed terms,,,,
- Death and disability claims,,,"1,033,970","1,420,238"
- Maturity and survival benefits,,,"1,687,397","1,176,665"
- Policy surrenders,,,"531,710","241,541"
- Annuities,,,"912,676","847,508"
General insurance business claims,,,"1,242,631","508,032"
Gross benefits and claims paid,,,"5,408,384","4,193,984"
Claims ceded to reinsurers,,,"(583,321)","(204,498)"
Gross change in actuarial value of insurance contract liabilities,,,"809,065","1,205,314"
Gross change in actuarial value of investment contract liabilities,,,"(1,085,819)","(600,054)"
Change in contract liabilities ceded to reinsurers,,,"(13,827)","(116,279)"
Net benefits and claims,,,"4,534,482","4,478,467"
