Column,Column,Group,Column,Company,Column
,,2016,2015,2016,2015
,Note,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Gross premium income,4(a),"5,224,546","5,181,614",-,-
Premium ceded to reinsurers,4(b),"(392,341)","(384,628)",-,-
Net premium income,,"4,832,205","4,796,986",-,-
Fees and commission income,5,"74,955","80,220",-,-
Investment income,6(a),"2,518,645","2,388,531","1,197","4,962"
Fair value losses,6(b),"(450,341)","(637,144)",-,-
Impairment of financial assets,,"(93,397)",-,-,-
Other operating revenue,6(c),"272,007","608,591","496,318","517,790"
Total other revenue,,"2,321,869","2,440,198","497,515","522,752"
Total revenue,,"7,154,074","7,237,184","497,515","522,752"
Gross benefits and claims paid,7(a),"(4,193,984)","(3,620,249)",-,-
Claims ceded to reinsurers,7(a),"204,498","96,593",-,-
Gross change in insurance contract liabilities,7(a),"(1,205,314)","(1,469,763)",-,-
Gross change in investment contract liabilities,7(a),"600,054","663,994",-,-
Change in contract liabilities ceded to reinsurers,7(a),"116,279","72,210",-,-
Net benefits and claims,,"(4,478,467)","(4,257,215)",-,-
Fee and commission expense,7(b),"(660,731)","(834,991)",-,-
Cost of sales,7(c),"(28,009)","(63,178)","(28,009)","(63,178)"
Other operating and administrative expenses,8,"(1,669,594)","(1,466,658)","(206,238)","(279,962)"
Impairment of goodwill,13(b),-,"(564,080)",-,-
Impairment of investment in subsidiary,15(a),-,-,-,"(539,562)"
"Total benefits, claims and other expenses",,"(6,836,801)","(7,186,122)","(234,247)","(882,701)"
Profit before share of profit of associate,,"317,273","51,062","263,268","(359,949)"
Share of profit of associate,15(b),(220),"3,263",-,-
Profit before tax,,"317,053","54,325","263,268","(359,949)"
Income tax expense,10,"(246,430)","(26,975)","6,831","(56,201)"
Profit for the year,,"70,623","27,350","270,099","(416,150)"
Profit attributable to:,,,,,
Owners of the parent,,"90,252","(61,559)","270,009","(416,150)"
Non-controlling interests,,"(19,629)","88,909",-,-
Earnings per share:,,,,,
Basic,32,0.63,(0.43),1.88,(2.89)
Diluted,32,0.63,(0.43),1.88,(2.89)
