Year ended 31 December 2016:,Column,Column,Column,Column,Column
Group,1 Year,1-5 Years,>5 Years,Open ended,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Financial Assets:,,,,,
Public sector stocks and loans,"605,183","3,479,605","11,054,275",-,"15,139,063"
Mortgages and policy loans,"9,306","549,033","372,226",-,"930,565"
Reinsurance assets,"361,629","148,599","44,754",-,"554,982"
Insurance receivables,"550,622",-,-,-,"550,622"
Receivables and other financial assets,"798,792",-,-,-,"798,792"
Deposits with financial institutions,"2,033,481",-,-,-,"2,033,481"
Total assets,"4,359,013","4,177,237","11,471,255",-,"20,007,505"
Company,,,,,
Receivables and other financial assets,"366,767",-,-,-,"366,767"
Total assets,"366,767",-,-,-,"366,767"
"u) Insurance risk
Insurance risk arises from the writing of other non-participating life business, as these products are valued prospectively and therefore expose the long - term required capital to
risk if actual experience differs from that which is assumed. The Group is however also exposed to persistency risk in respect of other policyholder solutions and insurance risk in
respect of insurance contracts.
The Group manages underwriting risk through:
Underwriting risk
Its product development process and underwriting policy to prevent anti - selection and ensure appropriate premium rates (loadings) for substandard risks;
Adequate reinsurance arrangements to limit exposure per individual and manage concentration of risks;
Claims handling policy; and
Adequate pricing and reserving.
Quarterly full actuarial valuations and the Group’s regular profit reporting process assist in the timely identification of experience variances. The following policies and practices
are used by the Group as part of its underwriting strategy to mitigate underwriting risk:",,,,,
