Column,Value of,% change
,in force,over base
,KShs.‘000,
Values as at 31 December 2016,"1,572,946",
"Investment return (and inflation) decreased by 1,0% and with bonus rates and discount rates changing commensurately","1,640,869",4.3%
"Equity/property assets fall by 10% without a corresponding fall/rise in dividend/rental yield - Assume portfolio asset mix is rebalanced after fall
in market values","1,560,808",-0.8%
"Increase expected return on equities/property assets by 1,0% p.a. due to a change in the equity/property risk premium with no consequential
changes to discount rates","1,646,324",4.7%
Shock scenario *,"1,768,964",12.5%
Expenses and persistency,,
Non commission maintenance unit expenses (excluding investment expenses) decrease by 10%,"1,697,358",7.9%
Discontinuance rates decrease by 10%,"1,587,253",0.9%
Insurance risk,,
Base mortality and morbidity rates decreased by 5% for life assurance business,"1,615,749",2.7%
Base mortality and morbidity rates decreased by 5% for life assurance annuity business,"1,575,311",0.2%
Values of one year new business as at 31 December 2015,"(88,203)",
"Investment return (and inflation) decreased by 1,0% and with bonus rates and discount rates changing commensurately","(54,645)",-38.0%
"Increase expected return on equities/property assets by 1,0% p.a. due to a change in the equity/property risk premium with no consequential
changes to discount rates","(79,098)",-10.3%
Shock scenario *,"(71,673)",-18.7%
New business volumes decrease by 10%,"(119,657)",35.7%
Expenses and persistency,,
Maintenance unit expenses (excluding investment expenses) decrease by 10%,"(74,273)",-15.8%
Non commission acquisition expenses decrease by 10%,"(58,133)",-34.1%
Discontinuance rates decrease by 10%,"(84,144)",-4.6%
Insurance risk,,
Base mortality and morbidity rates decreased by 5% for life assurance business,"(76,356)",-13.4%
Base mortality and morbidity rates decreased by 5% for life assurance annuity business,"(89,435)",1.4%
"Notes: Shock scenario*: Shock scenario is defined as an immediate 30% drop in equity values, 15% drop in property values, overseas assets fall at least 20% and fixed interest yields rise 25% (i.e. higher
assumed returns and inflation rates as well as risk discount rates).",,
