"The Group manages liquidity risk by continuously reviewing forecasts and actual cash flows, and maintaining banking facilities to cover any shortfalls.
Liquidity risk – policyholder solutions
Stable, reversionary bonus and participating annuity business (smoothed - bonus business)
These policyholder solutions expose the Group to liquidity risks. Expected cash flows are taken into account in determining the investment guidelines and asset spread of the
portfolios. Limits are also placed on the exposure to illiquid investments.
Guarantee plans
Other policyholder business
Policyholder portfolios supporting linked and market-related business, participating annuities and other non-participating life business are invested in appropriate assets, taking
into account expected cash outflows.
The following table summarises the overall maturity profile of the business:
Year ended 31 December 2017:",Column,Column,Column,Column,Column
Group,1 Year,1-5 Years,>5 Years,Open ended,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Financial liabilities,,,,,
Borrowings,941,"1,029,800",-,-,"1,030,741"
Market linked investment contracts,"1,041,723","3,602,468","1,772,200","151,767","6,568,158"
Non-market related insurance contracts,"2,155,473","4,137,530","5,830,089",-,"12,123,092"
Deposit administration contracts,-,-,-,"1,433,027","1,433,027"
Insurance payables,-,-,,"759,006","759,006"
Payables and other charges,"722,251",-,-,-,"722,251"
Total liabilities,"3,920,388","8,769,798","7,602,289","2,343,800","22,636,275"
Company,,,,,
Borrowings,941,"1,029,800",-,-,"1,030,741"
Payables and other charges,"311,447",-,-,-,"311,447"
Total liabilities,"312,388","1,029,800",-,-,"1,342,188"
