Column,Column,Group,Column,Company,Column
,,2019,2018,2019,2018
,Note,KShs.’000,KShs.’000,KShs.’000,KShs.’000
Gross premium income,4(a),"6,991,588","6,345,825",-,-
Premium ceded to reinsurers,4(b),"(1,345,042)","(974,017)",-,-
Net premium income,,"5,646,546","5,371,808",-,-
Fees and commission income,5,"325,064","268,010",-,-
Investment income,6(a),"2,350,289","2,183,767","10,587","332,500"
Fair value losses,6(b),"422,177","(1,983,581)",-,"(533,547)"
Impairment of financial assets,6(c),"2,624","(12,795)",-,-
Other operating revenue,6(d),"152,379","86,214","67,358","18,937"
Total other revenue,,"3,252,533","541,615","77,945","(182,110)"
Total revenue,,"8,899,079","5,913,423","77,945","(182,110)"
Gross benefits and claims paid,7(a),"(5,532,435)","(5,544,822)",-,-
Claims ceded to reinsurers,7(a),"433,730","660,314",-,-
Gross change in insurance contract liabilities,7(a),"(9,578)","(1,471,504)",-,-
Gross change in investment contract liabilities,7(a),"286,168","1,227,696",-,-
Change in contract liabilities ceded to reinsurers,7(a),"(14,308)","4,134",-,-
Net benefits and claims,,"(4,836,423)","(5,124,182)",-,-
Fees and commission expense,7(b),"(993,691)","(715,134)",-,-
Cost of sales - plots,7(c),"(20,653)","(11,697)","(20,653)","(11,697)"
Other operating and administrative expenses,8,"(2,040,589)","(2,000,047)","(229,506)","(297,967)"
Impairment of investment in subsidiaries,,-,-,-,"(59,514)"
Finance costs,23,"(457,637)","(191,863)","(307,080)","(118,263)"
"Total benefits, claims and other expenses",,"(8,348,993","(8,042,923)","(557,239)","(487,441)"
(Loss)/profit before share of profit of associate,,"550,086","(2,129,500)","(479,294)","(669,551)"
Share of profit/(loss) of associate,14(b),-,314,-,-
(Loss)profit before tax,,"550,086","(2,129,186)","(479,294)","(669,551)"
"Income tax credit/(expense)
(Loss)/profit for the year",10,"(435,687)
114,399","149,760
(1,979,426)","(82,384)
(561,678)","33,517
(636,034)"
(Loss)/profit attributable to:,,,,,
Owners of the parent,,"113,334","(2,017,061)","(561,678)","(636,034)"
Non-controlling interests,,"1,065","37,635",-,-
Earnings per share:,,-,,,
Basic,30,0.79,(14.01),(3.90),(4.42)
Diluted,30,0.79,(14.01),(3.90),(4.42)
